variant,test_batch,seed,accuracy,macro_f1,low_ppm_accuracy,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene
MMD baseline,4,42,0.8074534161490683,0.6665321899594508,0.6,1.0,0.6,1.0,1.0,0.703125,0.0
MMD baseline,5,42,0.9949238578680203,0.8277474931018238,1.0,0.95,1.0,1.0,1.0,1.0,0.0
MMD baseline,6,42,0.7547826086956522,0.6875324438139961,0.6974847042828008,0.9181818181818182,0.7241379310344828,0.9603960396039604,0.9111498257839721,0.9669260700389105,0.02569593147751606
MMD baseline,7,42,0.7940769443675616,0.7764970814469508,0.6297968397291196,0.8944444444444445,0.3629032258064516,0.9984126984126984,0.9984894259818731,1.0,0.5950704225352113
MMD baseline,8,42,0.9455782312925171,0.9372297187113606,0.9776119402985075,0.725,1.0,0.986013986013986,1.0,1.0,0.8333333333333334
MMD hard-gas weighted,4,42,0.8198757763975155,0.6722353836639551,0.8,1.0,0.6333333333333333,1.0,1.0,0.71875,0.0
MMD hard-gas weighted,5,42,0.9949238578680203,0.8277474931018238,1.0,0.95,1.0,1.0,1.0,1.0,0.0
MMD hard-gas weighted,6,42,0.7521739130434782,0.6679127330197882,0.6947654656696125,0.9181818181818182,0.8275862068965517,0.9686468646864687,0.9094076655052264,0.9591439688715954,0.006423982869379015
MMD hard-gas weighted,7,42,0.818156656518129,0.8040105732547871,0.6760722347629797,0.8916666666666667,0.3736559139784946,0.9984126984126984,0.9984894259818731,1.0,0.7359154929577465
MMD hard-gas weighted,8,42,0.9285714285714286,0.9096257412758665,0.9626865671641791,0.675,0.9393939393939394,0.993006993006993,0.9666666666666667,1.0,0.7777777777777778
MMD fine-grained,4,42,0.8322981366459627,0.6798705403319816,1.0,1.0,0.6,1.0,1.0,0.765625,0.0
MMD fine-grained,5,42,0.9898477157360406,0.8219572368421053,1.0,0.9,1.0,1.0,1.0,1.0,0.0
MMD fine-grained,6,42,0.7539130434782608,0.6348405153949678,0.698844323589395,0.9181818181818182,0.8620689655172413,0.9521452145214522,0.9111498257839721,0.953307392996109,0.03854389721627409
MMD fine-grained,7,42,0.7871574868530308,0.7705103196164816,0.6049661399548533,0.925,0.364247311827957,0.9984126984126984,0.9984894259818731,1.0,0.5299295774647887
MMD fine-grained,8,42,0.9387755102040817,0.9271700714066528,0.9701492537313433,0.725,0.9696969696969697,0.986013986013986,0.9666666666666667,1.0,0.8333333333333334
MMD baseline,9,42,0.774468085106383,0.7563269941067561,0.5391705069124424,1.0,0.9866666666666667,0.9358974358974359,1.0,1.0,0.009900990099009901
MMD baseline,10,42,0.7136111111111111,0.7194853338612007,0.6072727272727273,0.785,0.3616666666666667,0.83,0.8516666666666667,0.5866666666666667,0.8666666666666667
MMD hard-gas weighted,9,42,0.776595744680851,0.7556065142289569,0.5345622119815668,1.0,0.9866666666666667,0.9615384615384616,1.0,1.0,0.0
MMD hard-gas weighted,10,42,0.7211111111111111,0.7281722734050288,0.6263636363636363,0.7616666666666667,0.4716666666666667,0.8483333333333334,0.8566666666666667,0.5733333333333334,0.815
